"","us_city_order"
"1","King County, WA"
"2","Cook County, IL"
"3","Orange County, CA"
"4","Maricopa County, AZ"
"5","Los Angeles, CA"
"6","Santa Clara County, CA"
"7","Suffolk County, MA"
"8","San Benito, CA"
"9","San Diego County, CA"
"10","Humboldt County, CA"
"11","Sacramento County, CA"
"12","Diamond Princess"
"13","Washington County, OR"
"14","Snohomish County, WA"
"15","Providence County, RI"
"16","New York County, NY"
"17","Grafton County, NH"
"18","Hillsborough, FL"
"19","Placer County, CA"
"20","San Mateo, CA"
"21","Sonoma County, CA"
"22","Umatilla, OR"
"23","Alameda County, CA"
"24","Norfolk County, MA"
"25","Wake County, NC"
"26","Westchester County, NY"
"27","Fulton County, GA"
"28","Contra Costa County, CA"
"29","Nassau County, NY"
"30","Clark County, NV"
"31","Fort Bend County, TX"
"32","Grant County, WA"
"33","Santa Rosa County, FL"
"34","Williamson County, TN"
"35","Bergen County, NJ"
"36","Harris County, TX"
"37","San Francisco County, CA"
"38","Polk County, GA"
"39","Chatham County, NC"
"40","Delaware County, PA"
"41","Douglas County, NE"
"42","Fayette County, KY"
"43","Marion County, IN"
"44","Middlesex County, MA"
"45","Ramsey County, MN"
"46","Washoe County, NV"
"47","Wayne County, PA"
"48","Yolo County, CA"
"49","Montgomery County, MD"
"50","Denver County, CO"
"51","Summit County, CO"
"52","Grand Princess"
"53","Broward County, FL"
"54","Lee County, FL"
"55","Pinal County, AZ"
"56","Rockland County, NY"
"57","Saratoga County, NY"
"58","Charleston County, SC"
"59","Clark County, WA"
"60","Cobb County, GA"
"61","Davis County, UT"
"62","El Paso County, CO"
"63","Honolulu County, HI"
"64","Jackson County, OR "
"65","Jefferson County, WA"
"66","Kershaw County, SC"
"67","Klamath County, OR"
"68","Madera County, CA"
"69","Pierce County, WA"
"70","Tulsa County, OK"
"71","Douglas County, CO"
"72","Bennington County, VT"
"73","Berkshire County, MA"
"74","Davidson County, TN"
"75","Douglas County, OR"
"76","Fresno County, CA"
"77","Harford County, MD"
"78","Hendricks County, IN"
"79","Hudson County, NJ"
"80","Johnson County, KS"
"81","Kittitas County, WA"
"82","Manatee County, FL"
"83","Marion County, OR"
"84","Okaloosa County, FL"
"85","Riverside County, CA"
"86","Shelby County, TN"
"87","St. Louis County, MO"
"88","Suffolk County, NY"
"89","Ulster County, NY"
"90","Volusia County, FL"
"91","Fairfax County, VA"
"92","Rockingham County, NH"
"93","Washington, D.C."
"94","Montgomery County, PA"
"95","Carver County, MN"
"96","Charlotte County, FL"
"97","Cherokee County, GA"
"98","Collin County, TX"
"99","Jefferson County, KY"
"100","Jefferson Parish, LA"
"101","Shasta County, CA"
"102","Spartanburg County, SC"
"103","Harrison County, KY"
"104","Johnson County, IA"
"105","Washington"
"106","New York"
"107","California"
"108","Massachusetts"
"109","Georgia"
"110","Colorado"
"111","Florida"
"112","New Jersey"
"113","Oregon"
"114","Texas"
"115","Illinois"
"116","Pennsylvania"
"117","Iowa"
"118","Maryland"
"119","North Carolina"
"120","South Carolina"
"121","Tennessee"
"122","Virginia"
"123","Arizona"
"124","Indiana"
"125","Kentucky"
"126","District of Columbia"
"127","Nevada"
"128","New Hampshire"
"129","Minnesota"
"130","Nebraska"
"131","Ohio"
"132","Rhode Island"
"133","Wisconsin"
"134","Connecticut"
"135","Hawaii"
"136","Oklahoma"
"137","Utah"
"138","Kansas"
"139","Louisiana"
"140","Missouri"
"141","Vermont"
"142","Arkansas"
"143","Delaware"
"144","Michigan"
"145","Montana"
"146","New Mexico"
"147","South Dakota"
"148","Mississippi"
"149","North Dakota"
"150","Wyoming"
"151","Alaska"
"152","Idaho"
"153","Maine"
"154","Alabama"
"155","Puerto Rico"
"156","Virgin Islands, U.S."
