"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1000001,"High",891,18.05,9,11,10,0,0
1000002,"Low",352,10.63,5,0,9,0,0
1000003,"Low",712,84.16,5,9,6,1,0
1000004,"High",1681,24.87,11,4,6,4,0
1000005,"High",373,10.44,6,8,1,0,0
1000006,"Low",268,56.92,5,2,10,0,0
1000007,"Low",231,13.7,24,2,1,4,0
1000008,"High",623,74,16,8,6,4,0
1000009,"High",788,36.01,14,2,5,1,0
1000010,"Low",1580,26.26,4,10,8,1,0
1000011,"High",1243,50.31,28,2,2,0,0
1000012,"High",573,73.87,11,6,10,3,0
1000013,"High",1265,10.51,16,6,7,5,0
1000014,"High",1766,9.65,14,4,5,0,0
1000015,"Low",1394,80.3,9,6,6,1,0
1000016,"Low",1529,80.15,16,10,6,5,0
1000017,"High",123,28.72,30,8,1,3,0
1000018,"Low",770,25.43,30,11,1,5,1
1000019,"Low",114,71.11,27,2,3,1,0
1000020,"Low",1298,47.25,24,10,2,0,1
1000021,"Low",1317,23.95,23,1,1,2,0
1000022,"High",624,27.8,9,6,8,3,0
1000023,"Low",1271,11.9,11,9,1,4,0
1000024,"Low",531,67.25,26,9,0,1,1
1000025,"Low",1770,28.06,30,0,6,4,1
1000026,"High",978,61.99,12,11,4,5,0
1000027,"Low",273,92.77,13,0,3,3,0
1000028,"Low",472,81.59,25,0,1,0,0
1000029,"High",907,27.71,20,11,5,0,0
1000030,"Low",880,15.42,7,6,0,5,0
1000031,"High",64,16.72,4,9,3,1,0
1000032,"Low",731,36.7,30,8,10,5,1
1000033,"Low",1023,33.55,22,6,3,0,0
1000034,"Low",237,17.07,3,2,5,1,0
1000035,"High",598,6.29,4,4,2,1,0
1000036,"Low",532,49.93,18,1,5,5,0
1000037,"Low",1707,61.75,21,3,5,2,1
1000038,"High",472,53.11,25,6,3,5,0
1000039,"Low",795,85.84,11,11,9,5,0
1000040,"High",295,6.23,20,1,8,5,0
1000041,"High",1371,78.24,30,11,0,5,1
1000042,"High",1523,44.98,2,3,2,3,0
1000043,"High",1723,62.59,7,7,4,5,0
